Grupo,Nombre,ELO,Tactico,Logistica,Psicologia
A,Mexico,8.2,7.6,9.5,8.1
A,Corea del Sur,7.4,7.8,6.8,7.7
A,Rep. Checa,7.1,7.3,7.2,7.2
B,Argentina,9.5,9.2,8,9.6
B,Marruecos,7.6,7.5,7,8.5
B,Escocia,6.8,6.9,7.5,7
C,EEUU,8,7.7,9,7.9
C,Suiza,7.5,7.6,7.3,7.6
C,Nigeria,7,7,6.5,7.8
D,Brasil,9.3,9,7.5,9.2
D,Japon,7.8,8.2,6.9,7.8
D,Serbia,7.2,7.1,7.2,7
E,Francia,9.6,9.4,7.8,9.3
E,Colombia,7.9,8,8.5,8.2
E,Grecia,6.9,7,7,7
F,Inglaterra,9.2,9.1,7.5,8.8
F,Ecuador,7.5,7.4,8.2,7.7
F,Turquia,7.1,7.2,7.1,7.3
G,Alemania,9,8.9,7.6,8.5
G,Chile,7.3,7.3,8,7.8
G,Argelia,6.8,6.7,6.8,7.2
H,España,9.1,9.3,7.4,8.6
H,Noruega,7.6,7.5,7.2,7.1
H,Ghana,6.9,6.8,6.5,7.5
I,Portugal,8.9,8.8,7.2,8.4
I,Canada,7.4,7.2,8.5,7.5
I,Iran,7,6.9,6.5,7.3
J,Uruguay,8.5,8.3,8,9
J,Dinamarca,7.7,7.6,7.3,7.6
J,Corea del Norte,6.2,6.5,6,7.5
K,Italia,8.7,8.6,7.4,8.2
K,Senegal,7.5,7.4,7,8
K,Panama,6.5,6.4,7.8,6.8
L,Paises Bajos,8.6,8.5,7.3,7.8
L,Polonia,7.2,7.1,7.2,7.1
L,Costa Rica,6.8,6.6,8,7.5
M,Croacia,8.3,8.2,7.2,9.1
M,Austria,7.4,7.3,7.4,7
M,Honduras,6.4,6.3,7.5,7
N,Bélgica,8.4,8.1,7.4,7.6
N,Paraguay,7,6.9,7.8,7.5
N,Australia,6.9,6.8,6.5,7.2
O,Suecia,7.5,7.4,7.2,7.4
O,Egipto,7.1,7,6.8,7.6
O,Jamaica,6.6,6.5,7.5,6.8
P,Mexico Sub-23,6,6,6,6
P,Arabia Saudita,6.5,6.4,6.2,6.8
P,Nueva Zelanda,6,5.8,6,6.5
